TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1221728,Acoustic,SNS-2015-113,10/9/2015 0:00,3D9.1BF1888FC2,1221728,V16-4x,A69-9001,21261,69,,,,,,2435,00:00.0,19537,,NA,,
1221729,Acoustic,SNS-2015-051,9/4/2015 0:00,3D9.1BF188EB99,1221729,V16-4x,A69-9001,21262,69,,,,,,2435,00:00.0,19537,,NA,,
1221730,Acoustic,SNS-2015-050,9/4/2015 0:00,3D9.1BF1886857,1221730,V16-4x,A69-9001,21263,69,,,,,,2435,00:00.0,19537,,NA,,
1221731,Acoustic,SNS-2015-090,9/23/2015 0:00,3D9.1BF188565D,1221731,V16-4x,A69-9001,21264,69,,,,,,2435,00:00.0,19537,,NA,,
1221732,Acoustic,SNS-2015-056,9/4/2015 0:00,3D9.1BF1886105,1221732,V16-4x,A69-9001,21265,69,,,,,,2435,00:00.0,19537,,NA,,
1221733,Acoustic,SNS-2015-049,9/3/2015 0:00,3D9.1BF1887023,1221733,V16-4x,A69-9001,21266,69,,,,,,2435,00:00.0,19537,,NA,,
1251358,Acoustic,SNS-2018-023,7/1/2018 0:00,3DD.003BEF367A,1251358,V16T-4x,A69-9002,11179,69,,,,,,2427,00:00.0,21840,University of Maine,T,9002,11179
1251359,Acoustic,SNS-2018-016,6/12/2018 0:00,3DD.003BEF363C,1251359,V16T-4x,A69-9002,11180,69,,,,,,2427,00:00.0,21840,University of Maine,T,9002,11180
1251360,Acoustic,SNS-2017-021,7/11/2017 0:00,3DD.003BEF36A5,1251360,V16T-4x,A69-9002,11181,69,,,,,,3650,00:00.0,,,T,A69-9002,11181
1251361,Acoustic,SNS-2019-036,7/9/2019 0:00,3DD.003C0103E4,1251361,V16T-4x,A69-9002,11182,69,,,,,,3650,00:00.0,,,T,9002,11183
1251362,Acoustic,SNS-2016-116,7/6/2020 0:00,3DD.003BEF357E,1251362,V16T-4x,A69-9002,11183,69,,,,,,2427,00:00.0,21840,The Nature Conservancy,T,9002,11183
1268215,Acoustic,SNS-2017-025,7/26/2017 0:00,3DD.003BEF36B6,1268215,V16-4x,A69-9001,14284,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268216,Acoustic,SNS-2008-007,7/14/2017 0:00,3D9.257C65996E,1268216,V16-4x,A69-9001,14285,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268217,Acoustic,SNS-2017-027,7/27/2017 0:00,3DD.003BEF36B2,1268217,V16-4x,A69-9001,14286,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268218,Acoustic,SNS-2017-036,8/15/2017 0:00,3DD.003BEF36A8,1268218,V16-4x,A69-9001,14287,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268219,Acoustic,SNS-2017-030,8/1/2017 0:00,3DD.003BEF36E0,1268219,V16-4x,A69-9001,14288,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268220,Acoustic,SNS-2011-017,8/1/2017 0:00,3D9.1C2D7ECB46,1268220,V16-4x,A69-9001,14289,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268221,Acoustic,SNS-2011-022,9/12/2017 0:00,3D9.1C2D74F0C1,1268221,V16-4x,A69-9001,14290,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268222,Acoustic,SNS-2010-111,9/12/2017 0:00,3D9.1C2CABFF62,1268222,V16-4x,A69-9001,14291,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268223,Acoustic,SNS-2017-033,8/14/2017 0:00,3DD.003BEF36E1,1268223,V16-4x,A69-9001,14292,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
1268224,Acoustic,SNS-2008-093,9/13/2017 0:00,3D9.1C2CAB31D5,1268224,V16-4x,A69-9001,14293,69,,,,,,3650,00:00.0,23143,UMaine,NA,,
A69-2801-201129,Acoustic,2025-SNS-0006,8/4/2025 0:00,3DD.003E185F78,,,A69-2801,201129,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201213,Acoustic,2025-SNS-0011,8/4/2025 0:00,3DD.003E185F88,,,A69-2801,201213,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201214,Acoustic,2025-SNS-0010,8/4/2025 0:00,3DD.003E185F8E,,,A69-2801,201214,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201216,Acoustic,2025-SNS-0003,8/4/2025 0:00,3DD.003E185F74,,,A69-2801,201216,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201217,Acoustic,2025-SNS-0009,8/4/2025 0:00,3DD.003E185F89,,,A69-2801,201217,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201218,Acoustic,2025-SNS-0002,8/4/2025 0:00,3DD.003E185F94,,,A69-2801,201218,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201219,Acoustic,2025-SNS-0001,8/4/2025 0:00,3DD.003E185F7F,,,A69-2801,201219,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201220,Acoustic,2025-SNS-0005,8/4/2025 0:00,3DD.003E185F90,,,A69-2801,201220,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201221,Acoustic,2025-SNS-0004,8/4/2025 0:00,3DD.003E185F91,,,A69-2801,201221,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201222,Acoustic,2025-SNS-0008,8/4/2025 0:00,3DD.003E185F6C,,,A69-2801,201222,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201223,Acoustic,2025-SNS-0007,8/4/2025 0:00,3DD.003E185F87,,,A69-2801,201223,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201224,Acoustic,2025-SNS-0013,8/4/2025 0:00,3DD.003E185F68,,,A69-2801,201224,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201225,Acoustic,2025-SNS-0012,8/4/2025 0:00,3DD.003E185F85,,,A69-2801,201225,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201227,Acoustic,SNS-2017-068,8/17/2025 0:00,3DD.003BEF3727,,,A69-2801,201227,0,,NULL,0,,,2560,00:00.0,,,NA,,
