FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
SNS-2008-007,SNS,1268216,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2011-10-07 13:00:00","Penobscot River",520289,4961971,95,113,cm,7.5,kg,1,1,0,EF,66,52,54,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1268216,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2017-07-14 00:00:00",Penobscot,514534,4947641,101,118,cm,7.5499999999999998,kg,1,1,0,U,71,51,63,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-008,SNS,1042786,Acoustic,Wild,"Carlin: 31499; Genetic ID: G-202; Photo ID: 08-015;",Sturgeon-PNR,"Penobscot River","2008-07-18 13:14:00","Penobscot River",514662,4947235,96,109,cm,7.0,kg,1,0,1,U,66,50,63,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-009,SNS,1098594,Acoustic,Wild,"Carlin: 32983; Genetic ID: G-203; Photo ID: 10-205;",Sturgeon-PNR,"Penobscot River","2008-07-29 00:00:00","Penobscot River",514782,4947266,93,109,cm,8.5,kg,1,0,1,F,71,41,54,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-009,SNS,1098594,Acoustic,Wild,"Carlin: 32983; Genetic ID: G-203; Photo ID: 10-205;",Sturgeon-PNR,"Penobscot River","2009-08-14 14:22:00","Penobscot River",514600,4955411,92,107,cm,70.0,kg,1,1,0,U,73,50,54,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-009,SNS,1098594,Acoustic,Wild,"Carlin: 32983; Genetic ID: G-203; Photo ID: 10-205;",Sturgeon-PNR,"Penobscot River","2009-10-21 14:01:00","Penobscot River",517033,4958041,,,cm,6.5,kg,1,1,0,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-009,SNS,1098594,Acoustic,Wild,"Carlin: 32983; Genetic ID: G-203; Photo ID: 10-205;",Sturgeon-PNR,"Penobscot River","2010-10-11 11:52:00","Penobscot River",517235,4958383,98,104,cm,8.0,kg,1,1,0,F,73,44,54,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-013,SNS,1042791,Acoustic,Wild,"Carlin: 32111; Genetic ID: G-215; Photo ID: 08-030;",Sturgeon-PNR,"Penobscot River","2008-08-08 17:54:00","Penobscot River",514660,4947181,73,83,cm,3.0,kg,1,0,1,U,51,39,49,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-015,SNS,1043694,Acoustic,Wild,"Carlin: 32114; Genetic ID: G-217; Photo ID: 08-032;",Sturgeon-PNR,"Penobscot River","2008-08-11 09:22:00","Penobscot River",516848,4957891,79,93,cm,4.0,kg,1,0,1,U,62,41,50,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-016,SNS,1043696,Acoustic,Wild,"Carlin: 32115; FLOY: 101109; Genetic ID: G-218; Photo ID: 12-156;",Sturgeon-PNR,"Penobscot River","2008-08-11 09:22:00","Penobscot River",516848,4957891,79,93,cm,4.25,kg,1,0,1,U,57,41,49,,,,,,,,,,,,NA,NA,Penobscot,
