FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
AST-2009-001,AST,1074907,Acoustic,Wild,"Carlin: 32243; Genetic ID: G-346; Photo ID: 09-001;",Sturgeon-PNR,"Penobscot River","2009-06-16 00:00:00","Penobscot River",,,112,132,cm,12.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-004,AST,1074909,Acoustic,Wild,"FLOY: 100070; Genetic ID: G-349; Photo ID: 09-005;",Sturgeon-PNR,"Penobscot River","2009-06-25 00:00:00","Penobscot River",,,137,160,cm,28.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-007,AST,1074908,Acoustic,Wild,"Carlin: 32246; Genetic ID: G-352; Photo ID: 09-150;",Sturgeon-PNR,"Penobscot River","2009-07-03 00:00:00","Penobscot River",,,111,134,cm,14.0,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-007,AST,1074908,Acoustic,Wild,"Carlin: 32246; Genetic ID: G-352; Photo ID: 09-150;",Sturgeon-PNR,"Penobscot River","2009-10-14 00:00:00","Penobscot River",,,114,137,cm,13.75,kg,1,1,0,,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-008,AST,1074910,Acoustic,Wild,"Carlin: 32247; Genetic ID: G-353; Photo ID: 09-009;",Sturgeon-PNR,"Penobscot River","2009-07-10 00:00:00","Penobscot River",,,100,112,cm,9.5,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-009,AST,1075887,Acoustic,Wild,"Carlin: 32248; Genetic ID: G-354; Photo ID: 10-022;",Sturgeon-PNR,"Penobscot River","2009-07-15 00:00:00","Penobscot River",,,71,83,cm,3.25,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-009,AST,1075887,Acoustic,Wild,"Carlin: 32248; Genetic ID: G-354; Photo ID: 10-022;",Sturgeon-PNR,"Penobscot River","2010-07-29 00:00:00","Penobscot River",514548,4948095,89,103,cm,6.5,kg,1,1,0,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-012,AST,1074911,Acoustic,Wild,"FLOY: 100072; Genetic ID: G-357; Photo ID: 09-014;",Sturgeon-PNR,"Penobscot River","2009-07-20 00:00:00","Penobscot River",,,123,141,cm,17.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-013,AST,1074913,Acoustic,Wild,"FLOY: 100071; Genetic ID: G-361; Photo ID: 09-018;",Sturgeon-PNR,"Penobscot River","2009-08-02 00:00:00","Penobscot River",,,102,119,cm,10.5,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-016,AST,1074912,Acoustic,Wild,"FLOY: 100061; Genetic ID: G-359; Photo ID: 09-016;",Sturgeon-PNR,"Penobscot River","2009-08-02 00:00:00","Penobscot River",,,121,142,cm,14.0,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
