"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645297,2560,"A69-2801-201251",,,,"3DD.003E185F67",,,,,"None","None","None",85.4,97,,"UNK",63.1,42.8,53.5,,"JZ,SE"
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645273,2560,"A69-2801-201227",,,,"3DD.003BEF3727",,,,,"None","None","None",96,114.6,,"UNK",66.5,50.4,69.2,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645283,2560,"A69-2801-201237",,,,"3DD.003E185F64",,,,,"None","None","None",115.4,130.8,,"UNK",93.1,41,69,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645294,2560,"A69-2801-201248",,,,"3DD.003E185F5A",,,,,"None","None","None",102.6,116.8,,"UNK",81,41,58,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645299,2560,"A69-2801-201253",,,,"3DD.003E185F39",,,,,"None","None","None",109.4,120.2,,"UNK",92,42,63,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645296,2560,"A69-2801-201250",,,,"3DD.003E185F57",,,,,"None","None","None",120,143.1,,"UNK",96,48,73,,"JZ,SE"
"Initial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,19,"Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"PIT",,,,,,,,,"3DD.003E185F69",,,,,"None","None","None",61.4,72.3,,"UNK",47,36,43,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F6F",,,,,"None","None","None",79.8,90.6,,"UNK",63,34,49,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F71",,,,,"None","None","None",93,105.8,,"UNK",76,36.4,55.4,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F5F",,,,,"None","None","None",84.2,100.2,,"UNK",65,30.5,46.7,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F48",,,,,"None","None","None",90,107,,"UNK",76,32.2,50.3,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F61",,,,,"None","None","None",83,99.4,,"UNK",65.6,27.8,46,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F56",,,,,"None","None","None",92.2,108.8,,"UNK",75.2,33.3,49.2,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F79",,,,,"None","None","None",97.8,105.2,,"UNK",78.2,37.4,58.2,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F5D",,,,,"None","None","None",100.4,120,,"UNK",81.2,37.3,62.3,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F4E",,,,,"None","None","None",88,103,,"UNK",70.8,35.1,50.3,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F46",,,,,"None","None","None",93.6,109.2,,"UNK",71,33.9,54.7,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"PIT",,,,,,,,,"3DD.003E185F80",,,,,"None","None","None",88.8,104.4,,"UNK",69.2,32.7,53.6,,"JZ,SE"
