"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645279,"2560","A69-2801-201233",,,,,,,,,"None","None","None",90,105.8,,,73,39,52,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645285,"2560","A69-2801-201239",,,,,,,,,"None","None","None",94.8,108.8,,,73,50,66,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645286,"2560","A69-2801-201240",,,,,,,,,"None","None","None",85.6,103,,,79,34,53,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645281,"2560","A69-2801-201235",,,,,,,,,"None","None","None",109,125,,,91.4,48.2,68.4,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645276,"2560","A69-2801-201230",,,,,,,,,"None","None","None",1,114,,,80,43,59,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645277,"2560","A69-2801-201231",,,,,,,,,"None","None","None",103,123,,,85,43,64,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645272,"2560","A69-2801-201226",,,,,,,,,"None","None","None",95,112,,,75,34.8,56.4,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645284,"2560","A69-2801-201238",,,,,,,,,"None","None","None",130,152,,,113,49,74,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645298,"2560","A69-2801-201252",,,,,,,,,"None","None","None",94.6,107.6,,,75,48,70,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645297,"2560","A69-2801-201251",,,,,,,,,"None","None","None",85.4,97,,,63.1,42.8,53.5,,"JZ,SE"
